user,broker,API key,API secret,pnl,margin,max_risk
user_1,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_2,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_3,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_4,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_5,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_6,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_7,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_8,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_9,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
user_10,BrokerB,APIKEY_7580,APISE,-1349.0,37607.0,0.36
